LineItemStatus,Type,Code,Description
,CARC,1,"	DEDUCTIBLE AMOUNT_cmc"
,CARC,2,"	COINSURANCE AMOUNT_cmc"
,CARC,3,"	CO-PAYMENT AMOUNT_cmc"
,CARC,4,"	THE PROCEDURE CODE IS INCONSISTENT WITH THE MODIFIER USED._cmc"
,REMARK,5,"	THIS CLAIM WAS ALREADY REVIEWED AND PROCESSED. IF THIS IS A CORRECTED CLAIM, YOU MUST RESUBMIT IT AND INDICATE THAT IT IS A CORRECTED CLAIM. USE THE CORRECT FREQUENCY OR BILL TYPE TO INDICATE IT IS A REPLACEMENT CLAIM OR CLEARLY MARK IT WITH THE WORD ""CORRECTED""._cmc"
,REMARK,6,"	BENEFITS FOR THIS SERVICE ARE DENIED. THE SERVICE WAS PROVIDED BEFORE THE COVERAGE BEGAN._cmc"
,REMARK,7,"	BENEFITS FOR THIS SERVICE ARE NOT AVAILABLE. THE SERVICE WAS PROVIDED AFTER COVERAGE ENDED._cmc"
,CARC,8,"	THE PROCEDURE CODE IS INCONSISTENT WITH THE PROVIDER TYPE/SPECIALTY (TAXONOMY)._cmc"
,CARC,9,"	THE DIAGNOSIS IS INCONSISTENT WITH THE PATIENT S AGE._cmc"
,CARC,11,"	THE DIAGNOSIS IS INCONSISTENT WITH THE PROCEDURE._cmc"
,CARC,16,"	CLAIM/SERVICE LACKS INFORMATION OR HAS SUBMISSION/BILLING ERROR(S)._cmc"
,CARC,18,"	EXACT DUPLICATE CLAIM/SERVICE._cmc"
,CARC,24,"	CHARGES ARE COVERED UNDER A CAPITATION AGREEMENT/ MANAGED CARE PLAN._cmc"
,CARC,26,"	EXPENSES INCURRED PRIOR TO COVERAGE._cmc"
,CARC,27,"	EXPENSES INCURRED AFTER COVERAGE TERMINATED._cmc"
,CARC,29,"	THE TIME LIMIT FOR FILING HAS EXPIRED._cmc"
,REMARK,32,CHARGES EXCEED FEE SCHEDULE
,REMARK,38,PROCESSED ACCORDING TO ALLOWABLE. PROCESSED ACCORDING TO ALLOWABLE.
,REMARK,39,"	PAYMENT FOR THIS SERVICE IS DENIED. OUR RECORDS SHOW THIS MEMBER HAS COVERAGE WITH MEDICARE. PLEASE SEND US A COPY OF THE MEDICARE EXPLANATION OF BENEFITS (MEOB) THAT MATCHES ALL SERVICES ON THIS CLAIM._cmc"
,CARC,45,"	CHARGE EXCEEDS FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT._cmc"
,CARC,50,"	THESE ARE NON-COVERED SERVICES BECAUSE THIS IS NOT DEEMED A  MEDICAL NECESSITY  BY THE PAYER._cmc"
,CARC,59,"	PROCESSED BASED ON MULTIPLE OR CONCURRENT PROCEDURE RULES. (FOR EXAMPLE MULTIPLE SURGERY OR DIAGNOSTIC IMAGING, CONCURRENT ANESTHESIA.)_cmc"
,REMARK,69,CODE USED FOR INTERNAL SYSTEM REPORTING AND/OR PROCESSING
,CARC,96,"	NON-COVERED CHARGE(S)._cmc"
,CARC,97,"	THE BENEFIT FOR THIS SERVICE IS INCLUDED IN THE PAYMENT /ALLOWANCE FOR ANOTHER SERVICE/PROCEDURE THAT HAS ALREADY BEEN ADJUDICATED._cmc"
,CARC,109,"	CLAIM/SERVICE NOT COVERED BY THIS PAYER/CONTRACTOR. YOU MUST SEND THE CLAIM/SERVICE TO THE CORRECT PAYER/CONTRACTOR._cmc"
,CARC,119,"	BENEFIT MAXIMUM FOR THIS TIME PERIOD OR OCCURRENCE HAS BEEN REACHED._cmc"
,CARC,131,"	CLAIM SPECIFIC NEGOTIATED DISCOUNT._cmc"
,REMARK,149,"THESE ARE NON-COVERED SERVICES BECAUSE THIS IS NOT DEEMED A 'MEDICAL NECESSITY' BY THE PAYER. THIS DECISION WAS BASED ON A LOCAL COVERAGE DETERMINATION (LCD). AN LCD PROVIDES A GUIDE TO ASSIST IN DETERMINING WHETHER A PARTICULAR ITEM OR SERVICE IS COVERED. A COPY OF THIS POLICY IS AVAILABLE AT WWW.CMS.GOV/MCD, OR IF YOU DO NOT HAVE WEB ACCESS, YOU MAY CONTACT THE CONTRACTOR TO REQUEST COPY OF THE LCD."
,CARC,170,"	PAYMENT IS DENIED WHEN PERFORMED/BILLED BY THIS TYPE OF PROVIDER._cmc"
,CARC,197,"	PRECERTIFICATION/AUTHORIZATION/NOTIFICATION/ PRE-TREATMENT ABSENT._cmc"
,CARC,204,"	THIS SERVICE/EQUIPMENT/DRUG IS NOT COVERED UNDER THE PATIENT S CURRENT BENEFIT PLAN._cmc"
,CARC,227,"	INFORMATION REQUESTED FROM THE PATIENT/INSURED/ RESPONSIBLE PARTY WAS NOT PROVIDED OR WAS INSUFFICIENT/INCOMPLETE._cmc"
,CARC,234,"	THIS PROCEDURE IS NOT PAID SEPARATELY._cmc"
,CARC,242,"	SERVICES NOT PROVIDED BY NETWORK/PRIMARY CARE PROVIDERS ._cmc"
,CARC,243,"	SERVICES NOT AUTHORIZED BY NETWORK/PRIMARY CARE PROVIDERS._cmc"
,CARC,246,"	THIS NON-PAYABLE CODE IS FOR REQUIRED REPORTING ONLY._cmc"
,CARC,252,"	AN ATTACHMENT/OTHER DOCUMENTATION IS REQUIRED TO ADJUDICATE THIS CLAIM/SERVICE._cmc"
,CARC,253,"	SEQUESTRATION - REDUCTION IN FEDERAL PAYMENT_cmc"
,CARC,256,"	SERVICE NOT PAYABLE PER MANAGED CARE CONTRACT._cmc"
,CARC,272,"	COVERAGE/PROGRAM GUIDELINES WERE NOT MET._cmc"
,CARC,288,"	REFERRAL ABSENT._cmc"
,REMARK,806,NEW PATIENT' QUALIFICATIONS WERE NOT MET. INCORRECT PROCEDURE CODE FOR AN ESTABLISHED PATIENT.
,REMARK,825,ALERT: CONSULT PLAN BENEFIT DOCUMENTS/GUIDELINES FOR INFORMATION ABOUT RESTRICTIONS FOR THIS SERVICE
