Code,SEQNUM,RECID,Description,Name,COV,TOS1,CONVERTDateAdded,CONVERTEffectiveDate,CONVERTTerminationDate,ACTION CD
   A1,10,7,Dressing for one wound,Dressing for one wound,C,,20020701,20020701,,N
   A2,10,7,Dressing for two wounds,Dressing for two wounds,C,,20020701,20020701,,N
   A3,10,7,Dressing for three wounds,Dressing for three wounds,C,,20020701,20020701,,N
   A4,10,7,Dressing for four wounds,Dressing for four wounds,C,,20020701,20020701,,N
   A5,10,7,Dressing for five wounds,Dressing for five wounds,C,,20020701,20020701,,N
   A6,10,7,Dressing for six wounds,Dressing for six wounds,C,,20020701,20020701,,N
   A7,10,7,Dressing for seven wounds,Dressing for seven wounds,C,,20020701,20020701,,N
   A8,10,7,Dressing for eight wounds,Dressing for eight wounds,C,,20020701,20020701,,N
   A9,10,7,Dressing for nine or more wounds,Dressing for 9 or more wound,C,,20020701,20020701,,N
   AA,10,7,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst,D,,19840101,20010101,,N
   AD,10,7,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc",D,,19840101,20010101,,N
   AE,10,7,Registered dietician,Registered dietician,C,,20050101,20050101,,N
   AF,10,7,Specialty physician,Specialty physician,C,,20050101,20050101,,N
   AG,10,7,Primary physician,Primary physician,C,,20050101,20050101,,N
   AH,10,7,Clinical psychologist,Clinical psychologist,D,,19910101,19970101,,N
   AI,10,7,Principal physician of record,Principal physician of rec,C,,20100101,20100101,,N
   AJ,10,7,Clinical social worker,Clinical social worker,D,,19910101,19970101,,N
   AK,10,7,Non participating physician,Non participating physician,C,,20050101,20050101,,N
   AM,10,7,"Physician, team member service","Physician, team member svc",D,,19910101,19970101,,N
   AO,10,7,Alternate payment method declined by provider of service,Prov declined alt pmt method,C,,20131001,20131001,,N
   AP,10,7,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,No dtmn of refractive state,C,,19840101,19970101,,N
   AQ,10,7,Physician providing a service in an unlisted health professional shortage area (hpsa),Physician service hpsa area,C,,20060101,20060101,,N
   AR,10,7,Physician provider services in a physician scarcity area,Physician scarcity area,C,,20050101,20050101,,N
   AS,10,7,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",Assistant at surgery service,C,,19880101,19990101,,N
   AT,10,7,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment,C,,19840101,19980101,,N
   AU,10,7,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",C,,20030101,20030101,,N
   AV,10,7,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,C,,20030101,20030101,,N
