ClaimLineItemStatus,X12ClaimCodeType,Code,Description
,2,1,"	DEDUCTIBLE AMOUNT_cmc"
,2,2,"	COINSURANCE AMOUNT_cmc"
,2,3,"	CO-PAYMENT AMOUNT_cmc"
,2,4,"	THE PROCEDURE CODE IS INCONSISTENT WITH THE MODIFIER USED._cmc"
,3,5,"	THIS CLAIM WAS ALREADY REVIEWED AND PROCESSED. IF THIS IS A CORRECTED CLAIM, YOU MUST RESUBMIT IT AND INDICATE THAT IT IS A CORRECTED CLAIM. USE THE CORRECT FREQUENCY OR BILL TYPE TO INDICATE IT IS A REPLACEMENT CLAIM OR CLEARLY MARK IT WITH THE WORD ""CORRECTED""._cmc"
,3,6,"	BENEFITS FOR THIS SERVICE ARE DENIED. THE SERVICE WAS PROVIDED BEFORE THE COVERAGE BEGAN._cmc"
,3,7,"	BENEFITS FOR THIS SERVICE ARE NOT AVAILABLE. THE SERVICE WAS PROVIDED AFTER COVERAGE ENDED._cmc"
,2,8,"	THE PROCEDURE CODE IS INCONSISTENT WITH THE PROVIDER TYPE/SPECIALTY (TAXONOMY)._cmc"
,2,9,"	THE DIAGNOSIS IS INCONSISTENT WITH THE PATIENT S AGE._cmc"
,2,11,"	THE DIAGNOSIS IS INCONSISTENT WITH THE PROCEDURE._cmc"
,2,16,"	CLAIM/SERVICE LACKS INFORMATION OR HAS SUBMISSION/BILLING ERROR(S)._cmc"
,2,18,"	EXACT DUPLICATE CLAIM/SERVICE._cmc"
,2,24,"	CHARGES ARE COVERED UNDER A CAPITATION AGREEMENT/ MANAGED CARE PLAN._cmc"
,2,26,"	EXPENSES INCURRED PRIOR TO COVERAGE._cmc"
,2,27,"	EXPENSES INCURRED AFTER COVERAGE TERMINATED._cmc"
,2,29,"	THE TIME LIMIT FOR FILING HAS EXPIRED._cmc"
,3,32,CHARGES EXCEED FEE SCHEDULE
,3,38,PROCESSED ACCORDING TO ALLOWABLE. PROCESSED ACCORDING TO ALLOWABLE.
,3,39,"	PAYMENT FOR THIS SERVICE IS DENIED. OUR RECORDS SHOW THIS MEMBER HAS COVERAGE WITH MEDICARE. PLEASE SEND US A COPY OF THE MEDICARE EXPLANATION OF BENEFITS (MEOB) THAT MATCHES ALL SERVICES ON THIS CLAIM._cmc"
,2,45,"	CHARGE EXCEEDS FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT._cmc"
